Muchiile din care este alcatuit arborele minim de acoperire sunt:
152.muchia  ( 197 , 235 ) = 54
153.muchia  ( 5 , 153 ) = 55
154.muchia  ( 53 , 237 ) = 55
155.muchia  ( 26 , 181 ) = 56
156.muchia  ( 46 , 67 ) = 56
157.muchia  ( 143 , 211 ) = 56
158.muchia  ( 185 , 242 ) = 56
159.muchia  ( 207 , 239 ) = 56
160.muchia  ( 18 , 192 ) = 57
161.muchia  ( 67 , 81 ) = 57
162.muchia  ( 56 , 97 ) = 58
163.muchia  ( 0 , 175 ) = 59
164.muchia  ( 8 , 184 ) = 59
165.muchia  ( 151 , 243 ) = 59
166.muchia  ( 105 , 148 ) = 60
167.muchia  ( 28 , 190 ) = 61
168.muchia  ( 204 , 249 ) = 61
169.muchia  ( 109 , 223 ) = 62
170.muchia  ( 118 , 204 ) = 62
171.muchia  ( 191 , 247 ) = 62
172.muchia  ( 4 , 98 ) = 63
173.muchia  ( 22 , 149 ) = 63
174.muchia  ( 118 , 177 ) = 63
175.muchia  ( 160 , 225 ) = 63
176.muchia  ( 195 , 224 ) = 63
177.muchia  ( 222 , 233 ) = 63
178.muchia  ( 16 , 33 ) = 64
179.muchia  ( 105 , 249 ) = 64
180.muchia  ( 138 , 167 ) = 64
181.muchia  ( 99 , 199 ) = 65
182.muchia  ( 22 , 157 ) = 66
183.muchia  ( 44 , 219 ) = 66
184.muchia  ( 66 , 186 ) = 66
185.muchia  ( 98 , 187 ) = 66
186.muchia  ( 52 , 101 ) = 68
187.muchia  ( 159 , 226 ) = 68
188.muchia  ( 189 , 234 ) = 70
189.muchia  ( 23 , 122 ) = 71
190.muchia  ( 45 , 129 ) = 71
191.muchia  ( 70 , 77 ) = 71
192.muchia  ( 82 , 88 ) = 71
193.muchia  ( 82 , 183 ) = 71
194.muchia  ( 89 , 134 ) = 72
195.muchia  ( 93 , 229 ) = 72
196.muchia  ( 133 , 174 ) = 72
197.muchia  ( 33 , 55 ) = 73
198.muchia  ( 63 , 213 ) = 73
199.muchia  ( 191 , 196 ) = 74
200.muchia  ( 29 , 216 ) = 75
201.muchia  ( 30 , 134 ) = 75
202.muchia  ( 113 , 222 ) = 76
